Name,Definition,Synonym,Output
CAKUT,A urinary system disease characterized by structural malformations in the kidney and/or urinary tract containing vesicoureteral reflux.,Renal or urinary tract malformation,urinary system disease
neonatal urinary tract infectious disease,A central nervous system lipoma that is characterized by abnormal fat accumulation in and around the spinal cord.,urinary tract infection of newborn,urinary system disease
obsolete Histoplasma duboisii meningitis,An African histoplasmosis that results_in inflammation located_in meninges,Histoplasma duboisii with meningitis (disorder),urinary system disease
obsolete Histoplasma capsulatum meningitis,An American histoplasmosis that results_in inflammation located_in meninges,Histoplasma capsulatum with meningitis (disorder),urinary system disease
obsolete Histoplasma duboisii pericarditis,An African histoplasmosis that results_in inflammation located_in pericardium,Histoplasma duboisii with pericarditis (disorder),urinary system disease
bacteriuria,A urinary system disease which consists of the presence of bacteria in urine.,mixed hyperglyceridemia,urinary system disease
ureteral disease,A urinary system disease that is located_in the ureter.,Leukemic reticuloendotheliosis of lymph nodes of inguinal region and/or lower limb (disorder),urinary system disease
pyuria,A cerebrum cancer that is located_in the parietal lobe.,Pus cells in urine,urinary system disease
bladder disease,A urinary system disease that is located_in the bladder.,Urinary Bladder Disease,urinary system disease
urinary system cancer,An organ system cancer that is located_in the kidneys,Infection by Strongylus equinus (disorder),urinary system disease
obsolete urinary tract infiltrating transitional cell carcinoma,An organ system cancer that is located_in the kidneys,Infection by Strongylus equinus (disorder),urinary system disease
urinary tract obstruction,An artery disease that is characterized by degeneration of the cells composing the aortic wall.,urinary obstruction,urinary system disease
kidney disease,A urinary system disease that is located_in the kidney.,nephropathy,urinary system disease
urinary system benign neoplasm,An organ system benign neoplasm that is located_in the kidneys,urinary tract neoplasm,urinary system disease
urethral disease,A urinary system disease that is located_in the urethra.,urethra disease,urinary system disease
lower urinary tract calculus,A urinary system disease that is located_in the lower urinary tract and is characterized by the formation of a stone.,urethral Stone,urinary system disease
obsolete ovarian metastasis,A urinary system disease that is located_in the lower urinary tract and is characterized by the formation of a stone.,metastasis to ovary,urinary system disease
