Name,Definition,Synonym,Output
artery disease,A vascular disease that is located_in an artery.,rheumatic carditis,vascular disease
thrombosis,A vascular disease caused by the formation of a blood clot inside a blood vessel,lissencephaly syndrome,vascular disease
supine hypotensive syndrome,A vascular disease that is characterized by severe supine hypotension in late pregnancy,postpartum maternal hypotension syndrome,vascular disease
obsolete maternal distress,A vascular disease that is characterized by severe supine hypotension in late pregnancy,postpartum maternal hypotension syndrome,vascular disease
capillary disease,A vascular disease that is located_in the capillaries.,disease of capillaries,vascular disease
obsolete Histoplasma duboisii pneumonia,An African histoplasmosis that results_in inflammation located_in lung,pulmonary African histoplasmosis (disorder),vascular disease
cholesterol embolism,A vascular disease that is characterized by blood vessel obstruction resulting from the release of cholesterol from the inside of blood vessels along the bloodstream.,warfarin blue toe syndrome,vascular disease
obsolete Salmonella septicemia,A vascular disease that is characterized by blood vessel obstruction resulting from the release of cholesterol from the inside of blood vessels along the bloodstream.,Salmonella septicemia (disorder),vascular disease
angiodysplasia,A vascular disease that is characterized as a small vascular malformation of the gut.,angiodysplasia of stomach and duodenum with hemorrhage,vascular disease
thoracic outlet syndrome,A vascular disease that is characterized by compression at the superior thoracic outlet[1] resulting from excess pressure placed on a neurovascular bundle passing between the anterior scalene and middle scalene muscles.,TOS - Thoracic outlet syndrome,vascular disease
obsolete Nematoda infectious disease,A parasitic helminthiasis infectious disease that involves infection by parasitic roundworms including ascarids,Roundworm infection,vascular disease
ischemia,A vascular disease that is characterized by a restriction in blood supply to tissues.,Rhabdomyosarcoma of the orbit,vascular disease
peripheral vascular disease,A vascular disease that is characterized by obstruction of larger arteries not within the coronary,arterial occlusive disease,vascular disease
angiomyoma,A leiomyoma that is located_in the blood vessels.,vascular leiomyoma,vascular disease
intravenous leiomyomatosis,A leiomyomatosis that is located within the blood vessels.,Intravenous leiomyomatosis,vascular disease
vasculitis,A vascular disease that is characterized by inflammation of the blood vessels.,Angiitis,vascular disease
obsolete Hodgkin's granuloma involving intrapelvic lymph nodes,A vascular disease that is characterized by inflammation of the blood vessels.,Hodgkin's granuloma of intrapelvic lymph nodes (disorder),vascular disease
vein disease,A vascular disease that is located_in a vein.,varicella,vascular disease
