Name,Definition,Synonym,Output
livedoid vasculitis,A vasculitis with purpuric ulcers.,livedoid vasculopathy,vasculitis
erythema elevatum diutinum,A vasculitis characterised by red,Holzgreve Wagner Rehder Syndrome,vasculitis
retinal vasculitis,A vasculitis that is characterized by inflammation of the vascular branches of the retinal artery and has_symptom painless decrease of visual acuity,Retinal vasculitis,vasculitis
Behcet's disease,A vasculitis that is characterized by an autoimmune mediated inflammation of the blood vessels throughout the body leading to ulcerations on the mouth and sometimes the genitals,triple symptom complex,vasculitis
granulomatous angiitis,A cardiovascular organ benign neoplasm that has_material_basis_in endothelial cells that line blood vessels and is characterised by increased number of normal or abnormal vessels filled with blood.,Tactile epilepsy,vasculitis
Churg-Strauss syndrome,A vasculitits that is systemic vasculitis realized as blood vessel inflammation and has_symptom asthma along with hay fever,Churg-Strauss vasculitis,vasculitis
Shwartzman phenomenon,An allergic contact dermatitis that has_allergic_trigger members of the toxicodendron family,Shwartzman reaction,vasculitis
central nervous system vasculitis,A vasculitis that is characterized by inflammation of blood vessel walls in the brain or spine.,Opisthorchis Viverrini-Related Cholangiocellular carcinoma,vasculitis
obsolete non-resectable cholangiocellular carcinoma,A vasculitis that is characterized by inflammation of blood vessel walls in the brain or spine.,Opisthorchis Viverrini-Related Cholangiocellular carcinoma,vasculitis
polyarteritis nodosa,A vasculitis that is characterized by necrotizing inflammation of medium or small arteries.,anti-glomerular basement membrane disease,vasculitis
