Name,Definition,Synonym,Output
multiple cutaneous and mucosal venous malformations,An autosomal dominant disease that is characterized by multiple bluish cutaneous or mucosal venous lesions.,persistent Muellerian duct syndrome,vein disease
venous insufficiency,A vein disease that is characterized by impaired flow of blood through the veins.,peripheral venous insufficiency,vein disease
esophageal varix,A parathyroid gland disease characterized by decreased function of parathyroid glands with underproduction of parathyroid hormone (PTH),esophageal varices without mention of bleeding,vein disease
portal vein thrombosis,A hepatic vascular disease that is characterized by a blood clot that forms within the hepatic portal vein.,acute apical periodontitis of pulpal origin,vein disease
obsolete chronic hypomanic disorder,A hepatic vascular disease that is characterized by a blood clot that forms within the hepatic portal vein.,chronic hypomanic personality disorder,vein disease
obsolete intrathoracic lymph node tuberculosis,A lymph node tuberculosis that is characterized by a peri-hilar or paratracheal lymph adenopathy after the primary infection. The diseased lymph nodes and associated inflammatory edema compress the airways resulting in partial or total airway obstruction. When a caseating lymph node erupts into an airway,Tuberculosis of intrathoracic lymph nodes,vein disease
retinal vein occlusion,An organ system cancer that is located in the peritoneum.,Retinal vein occlusion,vein disease
superior vena cava angiosarcoma,A cervical cancer that derives_from the fibrous connective tissue of the endometrium.,angiosarcoma of the Superior Vena Cava,vein disease
pulmonary vein leiomyosarcoma,A leiomyosarcoma that is located_in the pulmonary vein.,leiomyosarcoma of the pulmonary Vein,vein disease
superior vena cava leiomyosarcoma,A leiomyosarcoma that is located_in the superior vena cava.,leiomyosarcoma of the Superior Vena Cava,vein disease
obsolete superior vena cava malignant neoplasm,A leiomyosarcoma that is located_in the superior vena cava.,malignant tumor of Superior Vena Cava,vein disease
varicose veins,A vein disease that is characterized by swollen,Venous varices,vein disease
phlebitis,A vein disease that is characterized by inflammation of a vein.,Mental and behavioral disorder due to use of alcohol,vein disease
obsolete reticulosarcoma involving lymph nodes of multiple sites,A vein disease that is characterized by inflammation of a vein.,Reticulosarcoma of lymph nodes of multiple sites (disorder),vein disease
obsolete Hodgkin's paragranuloma involving lymph nodes of axilla and upper limb,A vein disease that is characterized by inflammation of a vein.,Hodgkin's paragranuloma of lymph nodes of axilla and/or upper limb (disorder),vein disease
