Name,Definition,Synonym,Output
chikungunya,A viral infectious disease that results_in infection located_in joint,Chikungunya fever,viral infectious disease
tick-borne encephalitis,A viral infectious disease that results_in inflammation located_in brain,Western European tick-borne encephalitis,viral infectious disease
Nipah virus encephalitis,A viral infectious disease that results_in inflammation located_in brain,postmeasles encephalitis,viral infectious disease
obsolete Lymphocytic choriomeningitis virus encephalitis,A lymphocytic choriomeningitis that results_in inflammation located_in brain,postmeasles encephalitis,viral infectious disease
Argentine hemorrhagic fever,A viral infectious disease that is a hemorrhagic fever,postmeasles encephalitis,viral infectious disease
Bolivian hemorrhagic fever,A viral infectious disease that is a hemorrhagic fever,postmeasles encephalitis,viral infectious disease
Venezuelan hemorrhagic fever,A viral infectious disease that is a hemorrhagic fever,postmeasles encephalitis,viral infectious disease
Brazilian hemorrhagic fever,A viral infectious disease that is a hemorrhagic fever,postmeasles encephalitis,viral infectious disease
Chapare hemorrhagic fever,A viral infectious disease that is a hemorrhagic fever,postmeasles encephalitis,viral infectious disease
Whitewater Arroyo hemorrhagic fever,A viral infectious disease that is a hemorrhagic fever,postmeasles encephalitis,viral infectious disease
lujo hemorrhagic fever,A viral infectious disease that results_in infection,postmeasles encephalitis,viral infectious disease
obsolete Cytomegalovirus hepatitis,A Cytomegalovirus infectious disease that results_in inflammation,postmeasles encephalitis,viral infectious disease
exanthema subitum,A viral infectious disease that results_in infection in infants and children,Sixth Disease,viral infectious disease
obsolete Banna virus encephalitis,A viral infectious disease that results_in inflammation located_in brain,Sixth Disease,viral infectious disease
obsolete Anelloviridae infectious disease,A ssDNA virus infectious disease that results_in infection in humans,Sixth Disease,viral infectious disease
obsolete dsDNA virus infectious disease,A DNA virus infectious disease that results_in infection,dsDNA virus infection,viral infectious disease
obsolete ssDNA virus infectious disease,A DNA virus infectious disease that results_in infection,ssDNA virus infection,viral infectious disease
obsolete dsDNA-RT virus infectious disease,A DNA virus infectious disease that results_in infection,dsDNA-RT virus infection,viral infectious disease
obsolete dsRNA virus infectious disease,A RNA virus infectious disease that results_in infection,dsRNA virus infection,viral infectious disease
obsolete (+)ssRNA virus infectious disease,A RNA virus infectious disease that results_in infection,positive-sense ssRNA virus infectious disease,viral infectious disease
obsolete (-)ssRNA virus infectious disease,A RNA virus infectious disease that results_in infection,negative-sense ssRNA virus infectious disease,viral infectious disease
obsolete ssRNA-RT virus infectious disease,A RNA virus infectious disease that results_in infection,ssRNA-RT virus infection,viral infectious disease
